Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Churn_Label,Tenure_Bucket,Total_Addon_Services,Avg_Monthly_Revenue,Extra_Charges_Total,Extra_Charge_Ratio,Refund_Ratio,Is_Long_Term_Contract,Has_Value_Deal,Is_High_Spender,Has_Referrals,Is_Senior,Customer_Category
19877-DEL,Male,35,No,Delhi,7,27,No Deal,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,Stayed,,,0,25-48mo,4,36.10407407407407,381.51,0.39136857438885525,0.0,1,0,0,1,0,Loyal
58353-MAH,Female,45,Yes,Maharashtra,14,13,No Deal,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,70.4,542.4,38.33,10,96.21,610.28,Stayed,,,0,13-24mo,2,46.94461538461538,106.21,0.1740348692403487,0.0628072360228092,0,0,0,1,0,Medium-Risk
25063-WES,Male,51,No,West Bengal,4,35,Deal 5,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices,1,25-48mo,2,11.87,134.6,0.3239860392345649,0.0,0,1,0,1,0,High-Risk
59787-KAR,Male,79,No,Karnataka,3,21,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction,1,13-24mo,5,76.16714285714286,361.66,0.22610674519071466,0.0,0,1,1,1,1,High-Risk
28544-TAM,Female,80,No,Tamil Nadu,3,8,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability,1,7-12mo,3,36.1925,22.14,0.07646611867099537,0.0,0,0,0,1,1,High-Risk
32750-TEL,Male,24,No,Telangana,9,2,Deal 5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,Stayed,,,0,0-6mo,5,361.19,150.93,0.20893435587917716,0.0,0,1,0,1,0,Medium-Risk
84741-MAH,Female,66,Yes,Maharashtra,9,23,Deal 1,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,Stayed,,,0,13-24mo,8,374.4091304347826,707.16,0.08211895612913564,0.0,1,1,1,1,1,Premium-Ready
65618-GUJ,Male,51,Yes,Gujarat,12,24,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,Stayed,,,0,13-24mo,2,258.92833333333334,836.48,0.13460610078721913,0.0,1,1,0,1,0,Premium-Ready
64233-GUJ,Female,63,No,Gujarat,4,10,Deal 5,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,Stayed,,,0,7-12mo,2,41.406,73.71,0.17801767859730472,0.0,1,1,0,1,1,Medium-Risk
23612-UTT,Female,41,No,Uttar Pradesh,3,1,No Deal,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,Stayed,,,0,0-6mo,8,7807.8,1849.9,0.23692973692973693,0.0,1,0,1,1,0,Premium-Ready
45397-RAJ,Male,48,Yes,Rajasthan,0,1,No Deal,No,No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,,,0,0-6mo,4,2460.55,0.0,0.0,0.0,1,0,0,0,0,Loyal
53023-UTT,Male,26,Yes,Uttar Pradesh,6,22,No Deal,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,,,0,13-24mo,8,436.79409090909087,1152.72,0.1199566677454636,0.0,1,0,1,1,0,Premium-Ready
13717-UTT,Male,56,Yes,Uttar Pradesh,15,26,No Deal,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,,,0,25-48mo,1,17.10576923076923,93.25,0.2096683530073075,0.0,0,0,0,1,0,Medium-Risk
71897-MAH,Female,36,Yes,Maharashtra,8,6,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,,,0,0-6mo,5,1237.2083333333333,162.0,0.02182332536288014,0.0,1,1,1,1,0,Premium-Ready
15776-UTT,Female,38,Yes,Uttar Pradesh,1,19,No Deal,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,,,0,13-24mo,5,134.7421052631579,0.0,0.0,0.0,1,0,0,1,0,Loyal
56731-BIH,Female,53,Yes,Bihar,5,8,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,,,0,7-12mo,5,1098.1075,1935.46,0.22031768292266465,0.0,1,1,1,1,0,Premium-Ready
49302-GUJ,Female,47,No,Gujarat,14,4,No Deal,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,,,0,0-6mo,7,498.3,0.0,0.0,0.0,1,0,0,1,0,Loyal
93520-GUJ,Female,67,No,Gujarat,13,19,Deal 5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,,,0,13-24mo,1,4.203684210526316,7.77,0.09728308501314635,0.0,1,1,0,1,1,Medium-Risk
73360-AND,Female,74,No,Andhra Pradesh,0,30,No Deal,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,1,25-48mo,4,109.055,480.15,0.14676080876621886,0.0,1,0,0,0,1,High-Risk
36756-MAD,Male,64,Yes,Madhya Pradesh,15,33,No Deal,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,1,25-48mo,1,0.7606060606060606,0.0,0.0,0.0,0,0,0,1,1,High-Risk
