Primary_Complaint,Contract_Preference,Monthly_Charge_Band,Internet_Type_Need,Family_Size_Need,Recommended_Plan,Recommended_Price,Plan_Description
Price,Month-to-Month,High,Fiber Optic,Single,Value Saver Fiber,45.0,"Budget fiber plan, no bundled extras, cuts monthly cost ~35%."
Price,Month-to-Month,High,Fiber Optic,Small Family,Value Saver Fiber,45.0,"Budget fiber plan, no bundled extras, cuts monthly cost ~35%."
Price,Month-to-Month,Medium,Cable,Single,Value Saver Cable,35.0,"Lean cable plan for price-sensitive single users, no add-ons."
Price,Month-to-Month,Medium,Cable,Small Family,Value Saver Cable,35.0,"Lean cable plan for price-sensitive single users, no add-ons."
Price,One Year,High,Fiber Optic,Small Family,Family Fiber Lite,55.0,"1-year discounted fiber bundle, lower effective monthly rate."
Price,One Year,High,Fiber Optic,Large Family,Family Fiber Lite,55.0,"1-year discounted fiber bundle, lower effective monthly rate."
Price,Month-to-Month,Low,DSL,Single,Basic Connect,25.0,"Entry-level DSL plan, lowest price point available."
Price,Month-to-Month,Low,DSL,Small Family,Basic Connect,25.0,"Entry-level DSL plan, lowest price point available."
Competitor,Month-to-Month,High,Fiber Optic,Small Family,Loyalty Fiber Max,70.0,Matches competitor speed/offer with loyalty discount + device upgrade.
Competitor,Month-to-Month,High,Fiber Optic,Large Family,Loyalty Fiber Max,70.0,Matches competitor speed/offer with loyalty discount + device upgrade.
Competitor,Month-to-Month,Medium,Cable,Single,Switch-Back Saver,40.0,Aggressive win-back pricing plus 3 months premium support free.
Competitor,Month-to-Month,Medium,Cable,Small Family,Switch-Back Saver,40.0,Aggressive win-back pricing plus 3 months premium support free.
Competitor,One Year,High,Fiber Optic,Large Family,Ultra Fiber Family,95.0,High-speed multi-device fiber plan beating competitor offers.
Competitor,Two Year,High,Fiber Optic,Large Family,Ultra Fiber Family,95.0,High-speed multi-device fiber plan beating competitor offers.
Dissatisfaction,Month-to-Month,Medium,Fiber Optic,Small Family,Premium Care Bundle,65.0,Adds Premium Support + Device Protection to fix reliability issues.
Dissatisfaction,One Year,Medium,Fiber Optic,Small Family,Premium Care Bundle,65.0,Adds Premium Support + Device Protection to fix reliability issues.
Dissatisfaction,Month-to-Month,High,Cable,Single,Reliability Plus,58.0,Prioritized network reliability tier with proactive monitoring.
Dissatisfaction,Month-to-Month,High,Cable,Small Family,Reliability Plus,58.0,Prioritized network reliability tier with proactive monitoring.
Attitude,Month-to-Month,Medium,Cable,Single,VIP Support Plan,50.0,Dedicated priority support line for service-attitude issues.
Attitude,Month-to-Month,Medium,DSL,Single,VIP Support Plan,50.0,Dedicated priority support line for service-attitude issues.
Attitude,Month-to-Month,High,Fiber Optic,Small Family,White-Glove Fiber,75.0,Concierge-level onboarding & dedicated support team.
Attitude,One Year,High,Fiber Optic,Small Family,White-Glove Fiber,75.0,Concierge-level onboarding & dedicated support team.
Other,One Year,Medium,Fiber Optic,Single,Standard Fiber Plus,48.0,"Balanced general-purpose fiber plan, moderate data allowance."
Other,One Year,Medium,Fiber Optic,Small Family,Standard Fiber Plus,48.0,"Balanced general-purpose fiber plan, moderate data allowance."
